SpatialDimValueCode,Location,Period,Dim1,Dim2,Dim2ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value
BHS,Bahamas,2019,Both sexes,Total,ENVCAUSE000,10.04,0,20.06,10.04 [0 – 20.06]
COD,Democratic Republic of the Congo,2019,Both sexes,Total,ENVCAUSE000,100.3,84.49,117.4,100.3 [84.49 – 117.4]
AFG,Afghanistan,2019,Both sexes,Total,ENVCAUSE000,100.8,84.41,117.6,100.8 [84.41 – 117.6]
BGD,Bangladesh,2019,Both sexes,Total,ENVCAUSE000,100.9,84.13,119,100.9 [84.13 – 119]
BEN,Benin,2019,Both sexes,Total,ENVCAUSE000,101.8,89.52,114.2,101.8 [89.52 – 114.2]
MOZ,Mozambique,2019,Both sexes,Total,ENVCAUSE000,102.5,86.82,117.8,102.5 [86.82 – 117.8]
TLS,Timor-Leste,2019,Both sexes,Total,ENVCAUSE000,104.7,88.05,122.3,104.7 [88.05 – 122.3]
LAO,Lao People's Democratic Republic,2019,Both sexes,Total,ENVCAUSE000,107.2,91.96,124.6,107.2 [91.96 – 124.6]
VNM,Viet Nam,2019,Both sexes,Total,ENVCAUSE000,107.8,77.54,142.7,107.8 [77.54 – 142.7]
IND,India,2019,Both sexes,Total,ENVCAUSE000,108.4,81.05,137,108.4 [81.05 – 137]
AZE,Azerbaijan,2019,Both sexes,Total,ENVCAUSE000,109.9,73.82,148.7,109.9 [73.82 – 148.7]
LKA,Sri Lanka,2019,Both sexes,Total,ENVCAUSE000,110.1,89.09,130.5,110.1 [89.09 – 130.5]
LVA,Latvia,2019,Both sexes,Total,ENVCAUSE000,110.6,75.19,144.4,110.6 [75.19 – 144.4]
GIN,Guinea,2019,Both sexes,Total,ENVCAUSE000,110.6,97.63,123.3,110.6 [97.63 – 123.3]
DJI,Djibouti,2019,Both sexes,Total,ENVCAUSE000,111,89.39,131.1,111 [89.39 – 131.1]
TCD,Chad,2019,Both sexes,Total,ENVCAUSE000,111.7,97.75,125.6,111.7 [97.75 – 125.6]
ARM,Armenia,2019,Both sexes,Total,ENVCAUSE000,114.2,82.01,147.5,114.2 [82.01 – 147.5]
LTU,Lithuania,2019,Both sexes,Total,ENVCAUSE000,115.1,73.92,151.9,115.1 [73.92 – 151.9]
PAK,Pakistan,2019,Both sexes,Total,ENVCAUSE000,115.1,94.08,136.6,115.1 [94.08 – 136.6]
SLE,Sierra Leone,2019,Both sexes,Total,ENVCAUSE000,117.6,103.3,131.4,117.6 [103.3 – 131.4]
NPL,Nepal,2019,Both sexes,Total,ENVCAUSE000,119.3,95.95,144.8,119.3 [95.95 – 144.8]
SOM,Somalia,2019,Both sexes,Total,ENVCAUSE000,120.5,103.9,135.8,120.5 [103.9 – 135.8]
CHN,China,2019,Both sexes,Total,ENVCAUSE000,120.9,90.08,153.9,120.9 [90.08 – 153.9]
RUS,Russian Federation,2019,Both sexes,Total,ENVCAUSE000,126.5,58.41,241.2,126.5 [58.41 – 241.2]
PHL,Philippines,2019,Both sexes,Total,ENVCAUSE000,128.8,104.5,152.5,128.8 [104.5 – 152.5]
BRN,Brunei Darussalam,2019,Both sexes,Total,ENVCAUSE000,13.81,8.26,20.22,13.81 [8.26 – 20.22]
MNG,Mongolia,2019,Both sexes,Total,ENVCAUSE000,130.4,104.3,160.9,130.4 [104.3 – 160.9]
