Country,population of country,City,AirQuality,WaterPollution,population of city,lat,lng,proportion of population,"Mortality rate of country (per 100,000)",Gross domestic product ($ billions),Agriculture (% of GDP),Industry (% of GDP),Manufacturing (% of GDP),Services (% of GDP),"Weighted mortality rate of city (per 100,000)"
Afghanistan,4273156.0,Kabul,18.42105263,81.06060606,4273156.0,34.5328,69.1658,1.0,100.8,20.1,26.8,14,7.7,54.7,100.8
Albania,515717.0,Tirana,18.31683168,73.17708333,418495.0,41.33,19.82,0.8114818786272316,164.8,15.1,19.3,20,6,48.4,133.73221359776778
Albania,515717.0,Elbasan,0.0,25.0,78703.0,41.1125,20.0822,0.15260889208616354,164.8,15.1,19.3,20,6,48.4,25.149945415799753
Albania,515717.0,Burrel,100.0,62.5,10862.0,41.6,20.0,0.02106193900918527,164.8,15.1,19.3,20,6,48.4,3.4710075487137324
Albania,515717.0,Ballsh,0.0,62.5,7657.0,40.5991,19.7359,0.014847290277419593,164.8,15.1,19.3,20,6,48.4,2.446833437718749
Algeria,6193823.0,Algiers,39.74358974,60.29411765,3415811.0,36.7764,3.0586,0.5514866989256877,41.43,145,14.1,32.7,18.8,48.7,22.848093936491242
Algeria,6193823.0,Guelma,25.0,50.0,120004.0,36.4619,7.4258,0.01937478678354225,41.43,145,14.1,32.7,18.8,48.7,0.8026974164421554
Algeria,6193823.0,Oran,50.0,35.71428571,852000.0,35.6969,-0.6331,0.13755640094978497,41.43,145,14.1,32.7,18.8,48.7,5.6989616913495915
Algeria,6193823.0,Tlemcen,68.75,37.5,173531.0,34.8828,-1.3167,0.028016783818329973,41.43,145,14.1,32.7,18.8,48.7,1.1607353535934108
Algeria,6193823.0,Constantine,41.66666667,56.25,448374.0,36.365,6.6147,0.07239050906039775,41.43,145,14.1,32.7,18.8,48.7,2.9991387903722786
Algeria,6193823.0,Batna,100.0,25.0,290645.0,35.55,6.1667,0.04692497670663175,41.43,145,14.1,32.7,18.8,48.7,1.9441017849557536
Algeria,6193823.0,Bordj Bou Arreridj,62.5,0.0,168346.0,36.0667,4.7667,0.027179659476869133,41.43,145,14.1,32.7,18.8,48.7,1.1260532921266881
Algeria,6193823.0,Boumerdes,33.33333333,58.33333333,41685.0,36.7594,3.4728,0.006730092222525571,41.43,145,14.1,32.7,18.8,48.7,0.2788277207792344
Algeria,6193823.0,Mostaganem,75.0,75.0,145696.0,35.9333,0.0903,0.023522790367112526,41.43,145,14.1,32.7,18.8,48.7,0.9745492049094719
Algeria,6193823.0,Khenchela,100.0,0.0,108580.0,35.4167,7.1333,0.0175303685623564,41.43,145,14.1,32.7,18.8,48.7,0.7262831695384256
Algeria,6193823.0,Skikda,0.0,100.0,163318.0,36.8667,6.9,0.02636788296985561,41.43,145,14.1,32.7,18.8,48.7,1.092421391441118
Algeria,6193823.0,Djelfa,50.0,62.5,265833.0,34.6667,3.25,0.04291905015690632,41.43,145,14.1,32.7,18.8,48.7,1.7781362480006289
Angola,8883000.0,Luanda,15.0,81.25,8883000.0,-8.8383,13.2344,1.0,59.47,53.6,9.1,45.4,6.9,45.1,59.47
Argentina,21187284.0,Buenos Aires,54.26470588,54.84375,16216000.0,-34.5997,-58.3819,0.7653647348098038,42.16,385.5,6.1,22.2,14.4,55.3,32.267777219581326
Argentina,21187284.0,Salta,60.0,50.0,535303.0,-24.7883,-65.4106,0.025265295919948964,42.16,385.5,6.1,22.2,14.4,55.3,1.0651848759850482
Argentina,21187284.0,La Plata,40.90909091,63.63636364,193144.0,-34.9333,-57.95,0.0091160339380923,42.16,385.5,6.1,22.2,14.4,55.3,0.3843319908299714
Argentina,21187284.0,Santa Rosa,75.0,75.0,103860.0,-36.6203,-64.2906,0.004901996876994711,42.16,385.5,6.1,22.2,14.4,55.3,0.206668188334097
Argentina,21187284.0,Santa Rosa,75.0,75.0,7143.0,-28.2631,-58.1189,0.0003371361803617679,42.16,385.5,6.1,22.2,14.4,55.3,0.014213661364052135
Argentina,21187284.0,San Salvador de Jujuy,75.0,50.0,321789.0,-24.1856,-65.2994,0.015187836251215588,42.16,385.5,6.1,22.2,14.4,55.3,0.6403191763512491
Argentina,21187284.0,La Rioja,100.0,50.0,180995.0,-29.4131,-66.8558,0.008542623962561694,42.16,385.5,6.1,22.2,14.4,55.3,0.360157026261601
Argentina,21187284.0,Mendoza,65.625,53.57142857,114822.0,-32.8833,-68.8333,0.005419382682556198,42.16,385.5,6.1,22.2,14.4,55.3,0.22848117389656927
Argentina,21187284.0,Viedma,100.0,75.0,59122.0,-40.8,-63.0,0.002790447326802246,42.16,385.5,6.1,22.2,14.4,55.3,0.11764525929798268
Argentina,21187284.0,San Luis,75.0,50.0,169947.0,-33.2994,-66.3392,0.008021179118569421,42.16,385.5,6.1,22.2,14.4,55.3,0.3381729116388868
Argentina,21187284.0,Santiago del Estero,75.0,25.0,252192.0,-27.7844,-64.2669,0.011902988603919218,42.16,385.5,6.1,22.2,14.4,55.3,0.5018299995412342
Argentina,21187284.0,Rosario,71.42857143,57.14285714,1193605.0,-32.9575,-60.6394,0.05633591356022792,42.16,385.5,6.1,22.2,14.4,55.3,2.375122115699209
Argentina,21187284.0,Mar del Plata,82.14285714,35.71428571,593337.0,-38.0,-57.55,0.028004391690789627,42.16,385.5,6.1,22.2,14.4,55.3,1.1806651536836905
Argentina,21187284.0,Comodoro Rivadavia,85.71428571,58.33333333,730266.0,-45.8667,-67.5,0.03446718324066454,42.16,385.5,6.1,22.2,14.4,55.3,1.453136445426417
Argentina,21187284.0,Lomas de Zamora,62.5,37.5,112580.0,-34.7667,-58.4,0.005313564494628004,42.16,385.5,6.1,22.2,14.4,55.3,0.22401987909351664
Argentina,21187284.0,Quilmes,25.0,25.0,230810.0,-34.7167,-58.2667,0.010893798374534462,42.16,385.5,6.1,22.2,14.4,55.3,0.4592825394703729
Argentina,21187284.0,Avellaneda,0.0,100.0,24313.0,-34.6625,-58.3678,0.0011475279228805354,42.16,385.5,6.1,22.2,14.4,55.3,0.04837977722864337
Argentina,21187284.0,Avellaneda,0.0,100.0,23341.0,-29.1175,-59.6583,0.0011016513489883837,42.16,385.5,6.1,22.2,14.4,55.3,0.04644562087335025
Argentina,21187284.0,Pilar,75.0,100.0,81120.0,-34.4588,-58.9142,0.003828711598900548,42.16,385.5,6.1,22.2,14.4,55.3,0.1614184810096471
Argentina,21187284.0,San Isidro,100.0,0.0,43595.0,-34.4667,-58.5167,0.002057602097560027,42.16,385.5,6.1,22.2,14.4,55.3,0.08674850443313073
Armenia,1176195.0,Yerevan,41.81034483,35.0,1075800.0,40.1814,44.5144,0.9146442554168314,114.2,12.6,11.3,26.8,12.3,53.2,104.45237396860215
Armenia,1176195.0,Vanadzor,25.0,50.0,90525.0,40.8128,44.4883,0.07696427888232818,114.2,12.6,11.3,26.8,12.3,53.2,8.789320648361878
Armenia,1176195.0,Metsamor,0.0,50.0,9870.0,40.1428,44.1164,0.008391465700840421,114.2,12.6,11.3,26.8,12.3,53.2,0.9583053830359761
Australia,18945046.0,Canberra,90.74675325,17.80821918,381488.0,-35.2931,149.1269,0.02013655707143704,21.08,"1,326.90",2,25.4,5.6,66.3,0.42447862306589274
